university_id,course_id,faculty,course_name,degree_type,course_url,curriculum_supported,typical_offer,min_requirements,min_points_home,intl_buffer_points,required_subjects,recommended_subjects,ps_expected_signals,estimated_annual_cost_international,notes
KCL,KCL_LAW_LLB_2026,The Dickson Poon School of Law,Law LLB,LLB,https://www.kcl.ac.uk/study/undergraduate/courses/law-llb,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,38,1,None required.,None.,Argument + evidence; clarity and structure; engagement with law beyond TV (cases/issues); moral reasoning; writing that shows precision and restraint.,31600,Add intl buffer +1–2; budget filter; PS analyser should heavily score structure + argument clarity.
KCL,KCL_PSY_BSC_2026,"Institute of Psychiatry, Psychology & Neuroscience",Psychology BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/psychology-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,A-Levels: A*AA; IB: 38 (19 HL). Contextual: AAB / 35 (17 HL).,38,1,A-level grade A in one of Bio/Chem/Maths/Physics/Psychology required; IB HL grade 6 in one of those required.,Biology and Mathematics.,Scientific thinking + curiosity about behaviour; evidence of research methods interest; one relevant project (experiment/survey/data); critical thinking about claims; ethics in studying people.,40000,Add intl buffer +1–2; budget filter; science/psych gate; PS should show research-methods mindset.
KCL,KCL_ENGL_BA_2026,Arts & Humanities,English BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/english-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,A-level English Literature (or Lang/Lit) grade A required; IB HL English grade 6 required.,History; Classics; Philosophy.,Independent critical thinking; breadth of reading (medieval to contemporary); ability to link text to historical/social context; sensitivity to language and form.,27100,Add intl buffer +1; budget filter; KCL is Top 20 globally for English.
KCL,KCL_HIST_BA_2026,Arts & Humanities,History BA,BA,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,History A-level preferred.,Politics; Economics; Languages.,Historiographical awareness; interest in global/non-Western histories; ability to construct evidence-based arguments; engagement with primary sources.,27100,Add intl buffer +1; budget filter.
KCL,KCL_DMC_BA_2026,Arts & Humanities,Digital Media & Culture BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/digital-media-culture-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,None required.,Media Studies; Sociology; ICT.,Critical awareness of digital platforms; interest in the social impact of AI and big data; curiosity about internet culture and power; analytical writing on media trends.,27100,Add intl buffer +1; budget filter; highly popular for Marketing-bound students.
KCL,KCL_CMCI_BA_2026,Arts & Humanities,Culture Media & Creative Industries BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/culture-media-creative-industries-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,35,1,None required.,Sociology; Media; English.,"Interest in the ""Business"" of culture; awareness of cultural policy; curiosity about fashion/film/music industries; evidence of creative entrepreneurship.",31100,Add intl buffer +1; budget filter; Extremely competitive.
KCL,KCL_FILM_BA_2026,Arts & Humanities,Film Studies BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/film-studies-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,34,1,None required.,Film Studies; English; Art.,Visual literacy; ability to analyze scene construction; awareness of global/art-house cinema; critical writing on media theory; passion for film history.,27100,Add intl buffer +1; budget filter.
KCL,KCL_LIB_ARTS_2026,Arts & Humanities,Liberal Arts BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/liberal-arts-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,35,1,A-level in an Essay-based subject required.,None.,Intellectual polymath evidence; ability to connect different disciplines (e.g. art and politics); strong research curiosity; interest in a major/minor pathway.,31100,Add intl buffer +1; budget filter.
KCL,KCL_PHIL_BA_2026,Arts & Humanities,Philosophy BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/philosophy-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,None required.,Philosophy; Mathematics.,Logical rigor; clarity of thought; engagement with analytic and continental traditions; ability to handle abstract concepts; ethical reasoning.,27100,Add intl buffer +1; budget filter.
KCL,KCL_WAR_BA_2026,Faculty of Social Science & Public Policy,War Studies BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/war-studies-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,None required.,History; Politics.,"Critical engagement with conflict (not just ""liking history""); interest in security/strategy/diplomacy; ability to analyze complex causes of war; sophisticated essay writing.",31100,Add intl buffer +1; budget filter; World-leading department.
KCL,KCL_INT_REL_BA_2026,Faculty of Social Science & Public Policy,International Relations BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/international-relations-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,None required.,History; Politics; Economics.,Engagement with global power structures; interest in international organizations (UN/NATO); awareness of global south perspectives; ability to evaluate conflicting ideologies.,31100,Add intl buffer +1; budget filter.
KCL,KCL_POL_ECON_BA_2026,Faculty of Social Science & Public Policy,Political Economy BA/BSc,BA/BSc,https://www.kcl.ac.uk/study/undergraduate/courses/political-economy-ba-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,None required.,Economics; Mathematics.,Ability to bridge economics and political theory; interest in institutional design; curiosity about market-state relations; analytical approach to social problems.,31100,Add intl buffer +1; budget filter; unique interdisciplinary focus.
KCL,KCL_INT_DEV_BA_2026,Faculty of Social Science & Public Policy,International Development BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/international-development-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,34,1,None required.,Geography; Economics.,Passion for social justice and global inequality; awareness of emerging economies (BRICS); curiosity about aid and sustainability; evidence of activism or community work.,27100,Add intl buffer +1; budget filter.
KCL,KCL_GEOG_BA_2026,Faculty of Social Science & Public Policy,Geography BA/BSc,BA/BSc,https://www.kcl.ac.uk/study/undergraduate/courses/geography-ba-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 34 (16 HL).,35,1,None required.,Geography; Biology; Economics.,Spatial reasoning; interest in climate change or urban development; ability to handle both qualitative and quantitative data; field-work curiosity.,27100,Add intl buffer +1; budget filter.
KCL,KCL_MATH_BSC_2026,"Natural, Mathematical & Engineering Sciences",Mathematics BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/mathematics-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,35,1,A-level Maths A* required; IB HL Maths AA grade 7 required.,Further Maths.,Fascinating with abstract logic; evidence of independent math exploration (Olympiads/Reading); clarity in proof-writing; tenacity with difficult problems.,31100,Add intl buffer +1; budget filter; Maths A* is a non-negotiable gate.
KCL,KCL_PHYS_BSC_2026,"Natural, Mathematical & Engineering Sciences",Physics BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/physics-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,35,1,A-level Maths and Physics A required.,Further Maths.,Intuitive physical reasoning; linking math to physical reality; curiosity about quantum or astrophysics; experimental mindset.,31100,Add intl buffer +1; budget filter.
KCL,KCL_CHEM_BSC_2026,"Natural, Mathematical & Engineering Sciences",Chemistry BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/chemistry-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,A-level Chemistry A and one other science/math required.,Mathematics.,Molecular curiosity; precision in lab-thinking; interest in sustainable chemistry or pharma; analytical approach to complex data.,31100,Add intl buffer +1; budget filter.
KCL,KCL_GENENG_BENG_2026,"Natural, Mathematical & Engineering Sciences",General Engineering BEng,BEng,https://www.kcl.ac.uk/study/undergraduate/courses/general-engineering-beng,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,A-level Maths and Physics A required.,Design Technology.,Interdisciplinary engineering lens; maker mindset; curiosity about robotics and sustainable systems; problem-solving via iteration; teamwork evidence.,31100,Add intl buffer +1; budget filter.
KCL,KCL_BME_BENG_2026,"Natural, Mathematical & Engineering Sciences",Biomedical Engineering BEng,BEng,https://www.kcl.ac.uk/study/undergraduate/courses/biomedical-engineering-beng,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,A-level Maths and Physics A required.,Biology; Chemistry.,Bridging health and engineering; interest in imaging/robotics/implants; evidence of project work; understanding of medical ethics/constraints.,31100,Add intl buffer +1; budget filter.
KCL,KCL_MED_MBBS_2026,Life Sciences & Medicine,Medicine MBBS,MBBS,https://www.kcl.ac.uk/study/undergraduate/courses/medicine-mbbs,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,35,1,A-level Biology and Chemistry grade A required.,None.,Patient-centered empathy; long-term commitment evidence (volunteering); scientific resilience; ethical maturity; teamwork under pressure; understanding of the NHS.,48600,Add intl buffer +1; budget filter; UCAT required; Interview (MMI) required.
KCL,KCL_DENT_BDS_2026,Faculty of Dentistry,Dentistry BDS,BDS,https://www.kcl.ac.uk/study/undergraduate/courses/dentistry-bds,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,35,1,A-level Biology and Chemistry grade A required.,None.,Manual dexterity evidence; patient interaction skills; interest in oral health/science; precision and ethics; resilience in long-term study.,53000,Add intl buffer +1; budget filter; UCAT required; Interview required; highest tuition fee.
KCL,KCL_BIOMED_BSC_2026,Life Sciences & Medicine,Biomedical Science BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/biomedical-science-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,A-Levels: A*AA; IB: 35 (18 HL). Contextual: AAB / 34 (16 HL).,35,1,A-level Biology and Chemistry grade A required.,Mathematics.,Passion for human pathology/genetics; lab research interest; ability to analyze clinical data; curiosity about disease mechanisms.,31100,Add intl buffer +1; budget filter.
KCL,KCL_PHARM_MPHARM_2026,Life Sciences & Medicine,Pharmacy MPharm,MPharm,https://www.kcl.ac.uk/study/undergraduate/courses/pharmacy-mpharm,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,34,1,A-level Chemistry and one of Bio/Maths/Phys required.,None.,Attention to detail; interest in drug action/delivery; healthcare communication; evidence of pharmacy interest; ethics.,31100,Add intl buffer +1; budget filter; Integrated Master's.
KCL,KCL_NURS_BSC_2026,Nursing & Midwifery,Nursing with Registration (Adult) BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/nursing-with-registration-adult-nursing-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: BBB; IB: 30 (15 HL). Contextual: BBC / 28 (14 HL).,A-Levels: BBB; IB: 30 (15 HL). Contextual: BBC / 28 (14 HL).,30,1,None (Science/Psych preferred).,None.,Empathy and resilience; commitment to nursing values; evidence of care experience; ability to work in stressful environments; collaborative nature.,31100,Add intl buffer +1; budget filter; Interview required.
KCL,KCL_PHYSIO_BSC_2026,Life Sciences & Medicine,Physiotherapy BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/physiotherapy-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,34,1,A-level Biology required.,PE; Psychology.,Physical health curiosity; interest in rehabilitation and anatomy; communication skills; evidence of shadowing or sports-science interest.,31100,Add intl buffer +1; budget filter; Interview required.
KCL,KCL_NEURO_BSC_2026,Psychiatry Psychology & Neuroscience,Neuroscience BSc,BSc,https://www.kcl.ac.uk/study/undergraduate/courses/neuroscience-bsc,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,A-Levels: AAA; IB: 35 (18 HL). Contextual: ABB / 32 (15 HL).,35,1,A-level Biology and Chemistry required.,Psychology; Mathematics.,Fascination with brain-mind circuitry; interest in neurological disease; research-driven; curiosity about neuro-pharmacology or AI/brain.,31100,Add intl buffer +1; budget filter; world-class IoPPN faculty.
KCL,KCL_MUSIC_BMUS_2026,Arts & Humanities,Music BMus,BMus,https://www.kcl.ac.uk/study/undergraduate/courses/music-bmus,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,A-Levels: AAB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,34,1,A-level Music grade A required.,None.,Performance excellence; analytical understanding of music theory; interest in musicology and history; original creative voice; discipline.,27100,Add intl buffer +1; budget filter; Audition/Interview may be required.
KCL,KCL_CLAS_BA_2026,Arts & Humanities,Classics BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/classics-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: ABB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,A-Levels: ABB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,34,1,None (Latin/Greek preferred).,Ancient History; History of Art.,Linguistic aptitude; interest in ancient social structures/politics; bridging material culture and text; curiosity about legacy.,27100,Add intl buffer +1; budget filter.
KCL,KCL_SPAN_BA_2026,Arts & Humanities,Spanish & Latin American Studies BA,BA,https://www.kcl.ac.uk/study/undergraduate/courses/spanish-latin-american-studies-ba,"A-Levels; IB Diploma; plus UK alternatives (Access to HE, BTEC/CTEC, Pre-U, Scottish Highers/Adv Highers) + international equivalents (country-based).",A-Levels: ABB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,A-Levels: ABB; IB: 34 (16 HL). Contextual: BBB / 32 (15 HL).,34,1,A-level Spanish A required.,History; Politics.,Passion for Hispanic culture; cross-Atlantic curiosity; linguistic resilience; interest in literature/film of the region.,27100,Add intl buffer +1; includes year abroad.
